City_ID,City,Country,Max Temperature,Description,Latitude (Deg),Longitude (Deg),Hotel Name
183,arlit,NE,69.44,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
188,rio grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
189,mildura,AU,69.08,clear sky,-34.2,142.15,Mercure Hotel Mildura
191,nago,JP,62.67,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
192,phan thiet,VN,73.22,overcast clouds,10.9333,108.1,Hotel Saigon-PT
195,taoudenni,ML,69.51,overcast clouds,22.6783,-3.9836,
198,montepuez,MZ,70.47,scattered clouds,-13.1256,38.9997,PembaAparthotel
203,coihaique,CL,61.41,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
204,korhogo,CI,78.96,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
207,ilo,PE,71.04,scattered clouds,-17.6394,-71.3375,Torreblanca Hotel
208,atar,MR,73.13,scattered clouds,20.5169,-13.0499,Oumou Elghoura
211,mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
213,bandarbeyla,SO,77.0,light rain,9.4942,50.8122,JABIR HOTEL
214,gat,IL,66.4,broken clouds,31.61,34.7642,OlusHome
220,carnarvon,AU,69.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
221,tambun,ID,77.04,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
222,harindanga,IN,67.98,clear sky,22.0383,88.3214,Hasanur Builders
224,victoria,HK,68.32,clear sky,22.2855,114.1577,Mini Hotel Central
227,bambous virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
230,sal rei,CV,72.16,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
235,lodja,CD,70.97,light rain,-3.4833,23.4333,
237,ahipara,NZ,69.03,light rain,-35.1667,173.1667,Ahipara Holiday Park
238,madang,PG,77.92,moderate rain,-5.2246,145.7966,Comfort Inn Hotel
239,mbekenyera,TZ,70.88,clear sky,-10.0,38.9833,
241,kaya,BF,77.29,few clouds,13.0917,-1.0844,Maison de l'appelé
243,gold coast,AU,76.37,few clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
245,garissa,KE,78.42,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
246,loa janan,ID,73.94,overcast clouds,-0.583,117.095,PONDOK COKELAT HATTA CAB. LOA JANAN ILIR
258,uige,AO,68.7,overcast clouds,-7.6087,15.0613,Hotel Catraio
259,newala,TZ,67.69,broken clouds,-10.9431,39.2787,Mnyeu Newala
263,sahuaripa,MX,74.71,clear sky,29.05,-109.2333,Estatua de Sahuaripa
267,mahanoro,MG,75.29,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
268,port-gentil,GA,76.96,light rain,-0.7193,8.7815,Fengshui Residence
270,salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
273,solwezi,ZM,74.25,overcast clouds,-12.1688,26.3894,Country Lodge Solwezi
274,dawei,MM,69.1,clear sky,14.0833,98.2,Hotel Dawei
275,nagamangala,IN,64.26,few clouds,12.8156,76.7575,Annapurneshwari Residency nagamangala
276,gualaceo,EC,65.86,light rain,-2.9,-78.7833,Arhaná Hosteria Resort
278,zemio,CF,77.38,overcast clouds,5.0314,25.1361,OCHA Office
279,beloha,MG,77.7,broken clouds,-25.1667,45.05,
280,sur,OM,69.01,clear sky,22.5667,59.5289,Sur Plaza Hotel
285,uttaradit,TH,66.24,clear sky,17.6667,100.5,
291,kibondo,TZ,65.37,light rain,-3.5864,30.7203,Pongezi Annex Guest House
292,saint-leu,RE,74.26,overcast clouds,-21.15,55.2833,La Caz Oceane
